"SessionID","Configuration Name","Observer","DeviceID","Edited","Session Start Time","Recorded Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Habitat Map","Grid Size","Image Size","Notes","Channel Type","Subject Type","Focal Name","Group Count","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Space Use Grid X","Space Use Grid Y","Space Use Grid XY","Space Use Coordinate X","Space Use Coordinate Y","Space Use Coordinate XY","Question: Scent used and location sprayed?_35"
"75","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:17:45","2022-05-18 14:17:45","2022-05-18 14:20:01","2022-05-18 14:19:15","2022-05-18","14:19:15","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Arhaa","","3","Malayan Tigers","Sleeping","1","2","1, 2","93","389","93, 389",""
"75","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:17:45","2022-05-18 14:17:45","2022-05-18 14:20:01","2022-05-18 14:19:15","2022-05-18","14:19:15","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Sali","","3","Malayan Tigers","Locomotion","1","2","1, 2","89","211","89, 211",""
"75","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:17:45","2022-05-18 14:17:45","2022-05-18 14:20:01","2022-05-18 14:19:45","2022-05-18","14:19:45","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Arhaa","","4","Malayan Tigers","Sleeping","1","3","1, 3","113","451","113, 451",""
"75","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:17:45","2022-05-18 14:17:45","2022-05-18 14:20:01","2022-05-18 14:19:45","2022-05-18","14:19:45","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Sali","","4","Malayan Tigers","Locomotion","1","3","1, 3","75","410","75, 410",""
"76","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:25:05","2022-05-18 14:25:05","2022-05-18 14:28:52","2022-05-18 14:25:35","2022-05-18","14:25:35","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Arhaa","","1","","","1","1","1, 1","132","157","132, 157",""
"76","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:25:05","2022-05-18 14:25:05","2022-05-18 14:28:52","2022-05-18 14:25:35","2022-05-18","14:25:35","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Sali","","1","","","1","1","1, 1","122","46","122, 46",""
"76","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:25:05","2022-05-18 14:25:05","2022-05-18 14:28:52","2022-05-18 14:26:05","2022-05-18","14:26:05","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Arhaa","","2","","","1","2","1, 2","102","380","102, 380",""
"76","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:25:05","2022-05-18 14:25:05","2022-05-18 14:28:52","2022-05-18 14:26:05","2022-05-18","14:26:05","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Sali","","2","","","1","2","1, 2","105","225","105, 225",""
"76","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:25:05","2022-05-18 14:25:05","2022-05-18 14:28:52","2022-05-18 14:26:35","2022-05-18","14:26:35","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Arhaa","","3","","","2","1","2, 1","216","177","216, 177",""
"76","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:25:05","2022-05-18 14:25:05","2022-05-18 14:28:52","2022-05-18 14:26:35","2022-05-18","14:26:35","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Sali","","3","","","2","1","2, 1","228","29","228, 29",""
"76","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:25:05","2022-05-18 14:25:05","2022-05-18 14:28:52","2022-05-18 14:27:05","2022-05-18","14:27:05","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Arhaa","","4","","","2","2","2, 2","231","387","231, 387",""
"76","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:25:05","2022-05-18 14:25:05","2022-05-18 14:28:52","2022-05-18 14:27:05","2022-05-18","14:27:05","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Sali","","4","","","2","2","2, 2","237","225","237, 225",""
"76","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:25:05","2022-05-18 14:25:05","2022-05-18 14:28:52","2022-05-18 14:27:35","2022-05-18","14:27:35","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Arhaa","","5","","","3","1","3, 1","396","183","396, 183",""
"76","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:25:05","2022-05-18 14:25:05","2022-05-18 14:28:52","2022-05-18 14:27:35","2022-05-18","14:27:35","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Sali","","5","","","3","1","3, 1","370","27","370, 27",""
"76","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:25:05","2022-05-18 14:25:05","2022-05-18 14:28:52","2022-05-18 14:28:05","2022-05-18","14:28:05","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Arhaa","","6","","","4","1","4, 1","481","19","481, 19",""
"76","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:25:05","2022-05-18 14:25:05","2022-05-18 14:28:52","2022-05-18 14:28:05","2022-05-18","14:28:05","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Sali","","6","","","4","1","4, 1","522","175","522, 175",""
"77","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:39:02","2022-05-18 14:39:02","2022-05-18 14:40:41","2022-05-18 14:39:32","2022-05-18","14:39:32","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Arhaa","","1","","","2","3","2, 3","73","163","73, 163",""
"77","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:39:02","2022-05-18 14:39:02","2022-05-18 14:40:41","2022-05-18 14:39:32","2022-05-18","14:39:32","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Sali","","1","","","2","2","2, 2","75","79","75, 79",""
"77","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:39:02","2022-05-18 14:39:02","2022-05-18 14:40:41","2022-05-18 14:40:02","2022-05-18","14:40:02","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Arhaa","","2","","","2","5","2, 5","75","280","75, 280",""
"77","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:39:02","2022-05-18 14:39:02","2022-05-18 14:40:41","2022-05-18 14:40:02","2022-05-18","14:40:02","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Sali","","2","","","2","4","2, 4","82","219","82, 219",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:51:33","2022-05-27","14:51:33","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","1","Malayan Tigers","Locomotion","3","4","3, 4","136","199","136, 199",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:52:03","2022-05-27","14:52:03","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","2","Malayan Tigers","Locomotion","5","2","5, 2","211","111","211, 111",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:52:33","2022-05-27","14:52:33","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","3","Malayan Tigers","Locomotion","4","3","4, 3","192","165","192, 165",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:53:03","2022-05-27","14:53:03","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","4","Malayan Tigers","Stereotypy","6","3","6, 3","258","132","258, 132",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:53:33","2022-05-27","14:53:33","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","5","Malayan Tigers","Stereotypy","5","2","5, 2","222","109","222, 109",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:54:03","2022-05-27","14:54:03","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","6","Malayan Tigers","Stereotypy","3","3","3, 3","141","158","141, 158",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:54:33","2022-05-27","14:54:33","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","7","Malayan Tigers","Stereotypy","2","4","2, 4","89","186","89, 186",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:55:03","2022-05-27","14:55:03","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","8","Malayan Tigers","Stereotypy","5","2","5, 2","223","102","223, 102",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:55:33","2022-05-27","14:55:33","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","9","Malayan Tigers","Stereotypy","5","2","5, 2","240","119","240, 119",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:56:03","2022-05-27","14:56:03","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","10","Malayan Tigers","Stereotypy","4","3","4, 3","191","128","191, 128",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:56:33","2022-05-27","14:56:33","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","11","Malayan Tigers","Stereotypy","3","4","3, 4","107","223","107, 223",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:57:03","2022-05-27","14:57:03","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","12","Malayan Tigers","Stereotypy","5","3","5, 3","218","173","218, 173",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:57:33","2022-05-27","14:57:33","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","13","Malayan Tigers","Stereotypy","5","3","5, 3","201","122","201, 122",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:58:03","2022-05-27","14:58:03","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","14","Malayan Tigers","Stereotypy","5","3","5, 3","230","146","230, 146",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:58:33","2022-05-27","14:58:33","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","15","Malayan Tigers","Stereotypy","5","3","5, 3","230","169","230, 169",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:59:03","2022-05-27","14:59:03","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","16","Malayan Tigers","Stereotypy","2","4","2, 4","69","206","69, 206",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 14:59:33","2022-05-27","14:59:33","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","17","Malayan Tigers","Stereotypy","5","2","5, 2","230","119","230, 119",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 15:00:03","2022-05-27","15:00:03","2022","5","15","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","18","Malayan Tigers","Stereotypy","5","3","5, 3","215","134","215, 134",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 15:00:33","2022-05-27","15:00:33","2022","5","15","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","19","Malayan Tigers","Stereotypy","2","4","2, 4","72","225","72, 225",""
